	src	trg	weight	actors
0	tt0012349	tt0055928	1	['Eric Rogers']
1	tt0013442	tt0022100	1	['Fritz Arno Wagner']
2	tt0013442	tt5040012	1	['Henrik Galeen']
3	tt0013442	tt1389072	1	['Donald Sosin']
4	tt0015864	tt0021749	2	['Roland Totheroh', 'Henry Bergman']
5	tt0015864	tt0027977	2	['Roland Totheroh', 'Henry Bergman']
6	tt0015864	tt0032553	1	['Roland Totheroh']
7	tt0017136	tt0022100	1	['Theodor Loos']
8	tt0017925	tt0021749	1	['Carl Davis']
9	tt0021749	tt0027977	5	['Roland Totheroh', 'Henry Bergman', 'Charles Chaplin', 'Hank Mann', 'Al Ernest Garcia']
10	tt0021749	tt0032553	3	['Roland Totheroh', 'Charles Chaplin', 'Hank Mann']
11	tt0022100	tt0033870	1	['Peter Lorre']
12	tt0022100	tt0034583	1	['Peter Lorre']
13	tt0025316	tt0031381	1	['Clark Gable']
14	tt0027977	tt0032553	5	['Roland Totheroh', 'Charles Chaplin', 'Hank Mann', 'Chester Conklin', 'Carter DeHaven']
15	tt0027977	tt0093822	1	['Richard Alexander']
16	tt0027977	tt0096928	1	['Richard Alexander']
17	tt0029583	tt0034492	2	['Walt Disney', 'Frank Churchill']
18	tt0029583	tt0046183	2	['Walt Disney', 'Al Zinnen']
19	tt0029583	tt0048280	3	['Walt Disney', 'Milt Kahl', 'Al Zinnen']
20	tt0029583	tt0033563	3	['Frank Churchill', 'Fred Moore', 'Al Zinnen']
21	tt0029583	tt6292852	1	['Frank Churchill']
22	tt0029583	tt0053285	1	['Milt Kahl']
23	tt0029583	tt0058331	1	['Milt Kahl']
24	tt0029583	tt0042332	2	['Fred Moore', 'Paul J. Smith']
25	tt0029583	tt0043274	1	['Fred Moore']
26	tt0029583	tt0032910	1	['Paul J. Smith']
27	tt0031381	tt0044081	2	['Vivien Leigh', 'Mickey Kuhn']
28	tt0031381	tt0034583	3	['Max Steiner', 'Amilcare Pettinelli', 'Giovanna Scotto']
29	tt0031381	tt0040897	1	['Max Steiner']
30	tt0031381	tt0032551	2	['Jane Darwell', 'Irving Bacon']
31	tt0031381	tt0059578	3	['Gino Baghetti', 'Mario Besesti', 'Paul Villé']
32	tt0031381	tt0043014	3	['Elfie Beyer', 'Emilio Cigoli', 'Lydia Simoneschi']
33	tt0031381	tt0053291	8	['René Blancard', 'Carme Contreras', 'Gualtiero De Angelis', 'Claire Guibert', 'Margot Leonard', 'Siegfried Schürenberg', 'Lydia Simoneschi', 'Elsa Fábregas']
34	tt0031381	tt0047396	3	['Miranda Bonansea', 'Lita Recio', 'Elvira Jofre']
35	tt0031381	tt0052357	1	['Miranda Bonansea']
36	tt0031381	tt0052618	3	['Emilio Cigoli', 'Orlando Drummond', 'Jacqueline Morane']
37	tt0031381	tt0056592	4	['Emilio Cigoli', 'Gualtiero De Angelis', 'Tilly Lauenstein', 'Lydia Simoneschi']
38	tt0031381	tt0099685	3	['Carme Contreras', 'Sonia de Moraes', 'Tilly Lauenstein']
39	tt0031381	tt0032553	6	['Gualtiero De Angelis', 'Glória Ladany', 'Lita Recio', 'Siegfried Schürenberg', 'Gianfranco Bellini', 'Elsa Fábregas']
40	tt0031381	tt0032138	2	['Cécile Didier', 'Margot Leonard']
41	tt0031381	tt0045152	7	['Orlando Drummond', 'Yves Furet', 'Adolfo Geri', 'Zoe Incrocci', 'Walter Plunkett', 'Nicole Riche', 'Elvira Jofre']
42	tt0031381	tt0109830	2	['Orlando Drummond', 'Júlio Chaves']
43	tt0031381	tt0077975	1	['Robert Elliott']
44	tt0031381	tt0062622	2	['Tilly Lauenstein', 'Gianfranco Bellini']
45	tt0031381	tt3359350	1	['Eric Linden']
46	tt0031381	tt5950044	1	['Eric Linden']
47	tt0031381	tt0058461	1	['Wolfgang Lukschy']
48	tt0031381	tt0031679	1	['Thomas Mitchell']
49	tt0031381	tt0038650	1	['Thomas Mitchell']
50	tt0031381	tt1234721	1	['Thomas Mitchell']
51	tt0031381	tt1245526	1	['Thomas Mitchell']
52	tt0031381	tt0257044	2	['Jackie Moran', 'Jackie Moran']
53	tt0031381	tt0060196	1	['Paul Villé']
54	tt0031381	tt0088763	1	['Gianfranco Bellini']
55	tt0031381	tt0137523	1	['Júlio Chaves']
56	tt0031381	tt0372784	1	['Júlio Chaves']
57	tt0031679	tt0038650	6	['Thomas Mitchell', 'James Stewart', 'Beulah Bondi', 'Charles Lane', 'Larry Simms', 'Joseph Walker']
58	tt0031679	tt1234721	1	['Thomas Mitchell']
59	tt0031679	tt1245526	1	['Thomas Mitchell']
60	tt0031679	tt0052357	1	['James Stewart']
61	tt0031679	tt0451279	1	['James Stewart']
62	tt0031679	tt7126948	1	['James Stewart']
63	tt0031679	tt0831387	1	['Charles Lane']
64	tt0031679	tt10648342	1	['Charles Lane']
65	tt0031679	tt10954984	1	['Charles Lane']
66	tt0031679	tt12584954	1	['Charles Lane']
67	tt0031679	tt1877830	1	['Joseph Walker']
68	tt0032138	tt0053291	3	['Margot Leonard', 'Alfred Balthoff', 'Georg Thomalla']
69	tt0032138	tt0052618	1	['Alfred Balthoff']
70	tt0032138	tt0032551	1	['Charley Grapewin']
71	tt0032138	tt0045152	1	['Douglas Shearer']
72	tt0032138	tt0060196	1	['Herbert Weissbach']
73	tt0032455	tt0032910	1	['Campbell Grant']
74	tt0032455	tt0033563	1	['Milt Neil']
75	tt0032551	tt0050083	1	['Henry Fonda']
76	tt0032551	tt0117438	1	['John Ford']
77	tt0032551	tt0118571	1	['Paul Guilfoyle']
78	tt0032551	tt0119488	1	['Paul Guilfoyle']
79	tt0032551	tt0093177	1	['Tom Collins']
80	tt0032551	tt0034583	1	['John Qualen']
81	tt0032551	tt0049730	1	['John Qualen']
82	tt0032553	tt0053291	7	['Gualtiero De Angelis', 'Siegfried Schürenberg', 'Elsa Fábregas', 'Waldir Fiori', 'Franz-Otto Krüger', 'Jean Martinelli', 'Rosa Guiñón']
83	tt0032553	tt0056592	1	['Gualtiero De Angelis']
84	tt0032553	tt0047396	2	['Lita Recio', 'Rosa Guiñón']
85	tt0032553	tt0062622	2	['Gianfranco Bellini', 'Stefano Sibaldi']
86	tt0032553	tt0088763	1	['Gianfranco Bellini']
87	tt0032553	tt0052618	2	['Josep Maria Angelat', 'Leonard Steckel']
88	tt0032553	tt0076759	2	['Roger Carel', 'Philippe Dumat']
89	tt0032553	tt0080684	2	['Roger Carel', 'Philippe Dumat']
90	tt0032553	tt0051201	1	['Henry Daniell']
91	tt0032553	tt0120762	2	['Bernard Dhéran', 'Marta Martorell']
92	tt0032553	tt0073195	1	['Philippe Dumat']
93	tt0032553	tt0070047	1	['Waldir Fiori']
94	tt0032553	tt0137523	1	['Waldir Fiori']
95	tt0032553	tt0060196	1	['Hans Hessling']
96	tt0032553	tt0043014	2	['Stefano Sibaldi', 'Aldo Silvani']
97	tt0032553	tt0439572	1	['Florence Wright']
98	tt0032553	tt0099685	1	['Marta Martorell']
99	tt0032553	tt0126029	1	['Marta Martorell']
100	tt0032553	tt0045152	1	['Rosa Guiñón']
101	tt0032910	tt0042332	1	['Paul J. Smith']
102	tt0032910	tt0048280	1	['Dal McKennon']
103	tt0032976	tt0043014	1	['Franz Waxman']
104	tt0032976	tt0042192	1	['George Sanders']
105	tt0032976	tt0058385	1	['Gladys Cooper']
106	tt0032976	tt1486185	1	['Michael Hogan']
107	tt0033467	tt0052311	3	['Orson Welles', 'Ray Collins', 'Harry Shannon']
108	tt0033467	tt0041959	1	['Joseph Cotten']
109	tt0033467	tt0036775	1	['Fortunio Bonanova']
110	tt0033467	tt0044706	1	['Harry Shannon']
111	tt0033467	tt0103772	1	['Harry Shannon']
112	tt0033467	tt0105698	1	['Harry Shannon']
113	tt0033467	tt6856242	1	['Paul Stewart']
114	tt0033563	tt0034492	1	['Frank Churchill']
115	tt0033563	tt6292852	1	['Frank Churchill']
116	tt0033563	tt0042332	2	['Fred Moore', 'Oliver Wallace']
117	tt0033563	tt0043274	2	['Fred Moore', 'Oliver Wallace']
118	tt0033563	tt0046183	1	['Al Zinnen']
119	tt0033563	tt0048280	2	['Al Zinnen', 'Oliver Wallace']
120	tt0033870	tt0034583	3	['Peter Lorre', 'Sydney Greenstreet', 'Hal B. Wallis']
121	tt0033870	tt0038650	1	['Ward Bond']
122	tt0033870	tt0049730	1	['Ward Bond']
123	tt0033870	tt0053604	1	['Adolph Deutsch']
124	tt0033870	tt0063522	1	['Elisha Cook Jr.']
125	tt0033870	tt0048545	1	['Robert Foulk']
126	tt0033870	tt0052357	1	['Lee Patrick']
127	tt0034492	tt0046183	1	['Walt Disney']
128	tt0034492	tt0048280	1	['Walt Disney']
129	tt0034492	tt6292852	1	['Frank Churchill']
130	tt0034583	tt0040897	1	['Max Steiner']
131	tt0034583	tt0049730	1	['John Qualen']
132	tt0034583	tt0038787	2	['Ingrid Bergman', 'Claude Rains']
133	tt0034583	tt0052618	2	['Lauro Gazzolo', 'Bruno Persa']
134	tt0034583	tt0059578	1	['Lauro Gazzolo']
135	tt0034583	tt0190590	1	['M.K. Jerome']
136	tt0034583	tt0110357	1	['Joachim Kemmer']
137	tt0034583	tt0056801	1	['Madeleine Lebeau']
138	tt0034583	tt0056592	2	['Nino Pavese', 'Bruno Persa']
139	tt0034583	tt0043014	1	['Cesare Polacco']
140	tt0034583	tt0070047	1	['Horst Raspe']
141	tt0034583	tt0058385	1	['Francis J. Scheid']
142	tt0034583	tt0062622	1	['Gerd Vespermann']
143	tt0034583	tt1980929	1	['Dooley Wilson']
144	tt0034583	tt5606664	1	['Dooley Wilson']
145	tt0034583	tt0053291	1	['Bruno Persa']
146	tt0036775	tt0052618	1	['Miklós Rózsa']
147	tt0036775	tt0044079	1	['Raymond Chandler']
148	tt0036775	tt0053604	1	['Fred MacMurray']
149	tt0038650	tt1234721	1	['Thomas Mitchell']
150	tt0038650	tt1245526	1	['Thomas Mitchell']
151	tt0038650	tt0052357	1	['James Stewart']
152	tt0038650	tt0451279	1	['James Stewart']
153	tt0038650	tt7126948	1	['James Stewart']
154	tt0038650	tt0831387	1	['Charles Lane']
155	tt0038650	tt10648342	1	['Charles Lane']
156	tt0038650	tt10954984	1	['Charles Lane']
157	tt0038650	tt12584954	1	['Charles Lane']
158	tt0038650	tt1877830	1	['Joseph Walker']
159	tt0038650	tt0049730	1	['Ward Bond']
160	tt0038650	tt0054215	1	['Frank Albertson']
161	tt0038650	tt0106697	1	['Robert J. Anderson']
162	tt0038650	tt0056592	1	['Martin Hirthe']
163	tt0038650	tt0060196	1	['Martin Hirthe']
164	tt0038650	tt0069704	1	['Henry Travers']
165	tt0038650	tt0117571	1	['Henry Travers']
166	tt0038650	tt0120780	1	['Henry Travers']
167	tt0038650	tt0043014	1	['H.B. Warner']
